State,Participation,Total Score,Year,Test
Florida,0.56,1099.0,2018,SAT
Georgia,0.7,1064.0,2018,SAT
Hawaii,0.56,1010.0,2018,SAT
Idaho,1.0,1001.0,2018,SAT
Illinois,0.99,1019.0,2018,SAT
Indiana,0.63,1074.0,2018,SAT
Iowa,0.03,1265.0,2018,SAT
Kansas,0.04,1265.0,2018,SAT
Kentucky,0.04,1248.0,2018,SAT
Louisiana,0.04,1210.0,2018,SAT
Maine,0.99,1013.0,2018,SAT
Maryland,0.76,1080.0,2018,SAT
Massachusetts,0.8,1125.0,2018,SAT
Michigan,1.0,1011.0,2018,SAT
Minnesota,0.04,1298.0,2018,SAT
Mississippi,0.03,1236.0,2018,SAT
Missouri,0.04,1262.0,2018,SAT
Montana,0.1,1198.0,2018,SAT
Nebraska,0.03,1252.0,2018,SAT
Nevada,0.23,1140.0,2018,SAT
New Hampshire,0.96,1063.0,2018,SAT
New Jersey,0.82,1094.0,2018,SAT
New Mexico,0.16,1093.0,2018,SAT
New York,0.79,1068.0,2018,SAT
North Carolina,0.52,1098.0,2018,SAT
North Dakota,0.02,1283.0,2018,SAT
Oklahoma,0.08,1062.0,2018,SAT
Ohio,0.18,1099.0,2018,SAT
Oregon,0.48,1117.0,2018,SAT
Pennsylvania,0.7,1086.0,2018,SAT
Rhode Island,0.97,1018.0,2018,SAT
South Carolina,0.55,1070.0,2018,SAT
South Dakota,0.03,1240.0,2018,SAT
Tennessee,0.06,1231.0,2018,SAT
Texas,0.66,1032.0,2018,SAT
Utah,0.04,1010.0,2018,SAT
Vermont,0.64,1120.0,2018,SAT
Virginia,0.68,1117.0,2018,SAT
Washington,0.69,1081.0,2018,SAT
West Virginia,0.28,999.0,2018,SAT
Wisconsin,0.03,1294.0,2018,SAT
Wyoming,0.03,1257.0,2018,SAT
Alabama,0.07,1143.0,2019,SAT
Alaska,0.41,1097.0,2019,SAT
Arizona,0.31,1134.0,2019,SAT
Arkansas,0.06,1141.0,2019,SAT
California,0.63,1065.0,2019,SAT
Colorado,1.0,1024.0,2019,SAT
Connecticut,1.0,1046.0,2019,SAT
Delaware,1.0,985.0,2019,SAT
District of Columbia,0.94,975.0,2019,SAT
Florida,1.0,999.0,2019,SAT
Georgia,0.71,1058.0,2019,SAT
Hawaii,0.54,1100.0,2019,SAT
Idaho,1.0,993.0,2019,SAT
Illinois,1.0,1013.0,2019,SAT
Indiana,0.66,1080.0,2019,SAT
Iowa,0.03,1244.0,2019,SAT
Kansas,0.04,1241.0,2019,SAT
Kentucky,0.04,1232.0,2019,SAT
Louisiana,0.05,1200.0,2019,SAT
Maine,0.99,1013.0,2019,SAT
Maryland,0.82,1058.0,2019,SAT
Massachusetts,0.81,1120.0,2019,SAT
Michigan,1.0,1003.0,2019,SAT
Minnesota,0.04,1284.0,2019,SAT
Mississippi,0.03,1237.0,2019,SAT
Missouri,0.04,1236.0,2019,SAT
Montana,0.09,1199.0,2019,SAT
Nebraska,0.03,1260.0,2019,SAT
Nevada,0.2,1156.0,2019,SAT
New Hampshire,0.95,1059.0,2019,SAT
New Jersey,0.82,1090.0,2019,SAT
New Mexico,0.18,1073.0,2019,SAT
New York,0.79,1064.0,2019,SAT
North Carolina,0.51,1100.0,2019,SAT
North Dakota,0.02,1263.0,2019,SAT
Ohio,0.19,1097.0,2019,SAT
Oklahoma,0.22,963.0,2019,SAT
Oregon,0.51,1112.0,2019,SAT
Pennsylvania,0.7,1082.0,2019,SAT
Rhode Island,1.0,995.0,2019,SAT
South Carolina,0.68,1030.0,2019,SAT
South Dakota,0.03,1268.0,2019,SAT
Tennessee,0.07,1220.0,2019,SAT
Texas,0.68,1022.0,2019,SAT
Utah,0.04,1230.0,2019,SAT
Vermont,0.66,1106.0,2019,SAT
Virginia,0.68,1119.0,2019,SAT
Washington,0.7,1074.0,2019,SAT
West Virginia,0.99,943.0,2019,SAT
Wisconsin,0.03,1283.0,2019,SAT
Wyoming,0.03,1238.0,2019,SAT
